Week,content_id,content_name,Topic,display_name,Concepts
345,108,CashRegisterTester,19,UNKNOWN,"FormalMethodParameter:0.20016118041938452,StaticMethodSpecifier:0.11809931207799448,ObjectCreationStatement:0.43761271343598884,ActualMethodParameter:0.28480571645027714,StringLiteral:0.1598540601849957,InstanceField:1.1891156645946537,PublicConstructorSpecifier:0.7579478642953567,MultiplyExpression:0.9542425094393249,ClassDefinition:0.0,MethodDefinition:0.06320366291470532,VoidDataType:0.060979615405928396,ConstructorCall:0.43761271343598884,DoubleDataType:2.7856271962359807,StringDataType:0.1558878729673943,SimpleVariable:1.28685495913815,AddExpression:2.084258988301393,DivideExpression:1.7201593034059568,PublicClassSpecifier:0.09985819730561223,PublicMethodSpecifier:0.07953314519954222,SimpleAssignmentExpression:0.18438936214647325,ObjectMethodInvocation:0.7483875446874532,java.lang.System.out.println:0.3303575594137351,PrivateFieldSpecifier:1.8668152842558356,ConstructorDefinition:0.640978057358332,ReturnStatement:1.2968098602481155,SubtractExpression:1.1760912590556813"
345,109,checkbox_test,19,UNKNOWN,"PrivateFieldSpecifier:1.8668152842558356,ConstructorDefinition:0.640978057358332,StringLiteral:0.44627408621601317,ObjectMethodInvocation:1.2021690071274842,ConstructorCall:1.445253223898372,PublicMethodSpecifier:0.05978639553726891,PrivateClassSpecifier:1.8962505624616381,InstanceFieldInitializationStatement:1.5949582790394932,EqualExpression:2.436858266006567,ImportStatement:1.3325929770870883,AddExpression:0.9931605754696945,PublicClassSpecifier:0.05897785995933788,InstanceField:1.1891156645946537,PublicConstructorSpecifier:0.7579478642953567,StringDataType:0.43520144549454315,ActualMethodParameter:0.41837403663010664,FormalMethodParameter:0.16097746987610817,StaticMethodSpecifier:0.11809931207799448,ImplementsSpecification:0.9072459467631013,IntDataType:0.5073574225169946,IfElseStatement:1.957088293158176,OnDemandImport:2.084258988301393,ExtendsSpecification:0.6232492903979004,SimpleVariable:0.9130620603033284,SuperclassConstructorCall:1.0359125558906443,SimpleAssignmentExpression:0.18911110046226043,ObjectCreationStatement:1.445253223898372,MethodDefinition:0.04751125057285596,VoidDataType:0.05362815767166245,MethodImplementation:0.9072459467631013,IfStatement:1.8342493356277607,ConstantInvocation:1.7049126232014145,ClassDefinition:0.0"
345,110,combobox_test,19,UNKNOWN,"PublicMethodSpecifier:0.05978639553726891,PublicClassSpecifier:0.05897785995933788,InstanceField:1.1891156645946537,StringDataType:0.37199435222906685,StringLiteral:0.3354716950977236,ActualMethodParameter:0.4246125613818463,PublicConstructorSpecifier:0.7579478642953567,OnDemandImport:2.084258988301393,FormalMethodParameter:0.16097746987610817,VoidDataType:0.05362815767166245,ExtendsSpecification:0.6232492903979004,SimpleVariable:0.9130620603033284,InstanceFieldInitializationStatement:1.5949582790394932,ObjectCreationStatement:1.525039455084848,ArrayElement:2.85091489555286,SuperclassConstructorCall:1.0359125558906443,ClassDefinition:0.0,MethodDefinition:0.04751125057285596,StaticMethodSpecifier:0.11809931207799448,PrivateFieldSpecifier:1.8668152842558356,StringVariable:0.6470522050705252,SimpleAssignmentExpression:0.1514969433926647,ConstructorCall:1.525039455084848,ConstructorDefinition:0.640978057358332,ImportStatement:1.3325929770870883,ObjectMethodInvocation:1.0929333671458092"
345,111,comparison_operators,19,UNKNOWN,"FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,SimpleAssignmentExpression:0.09187991494111997,java.lang.System.out.println:0.5091391640910456,StringDataType:0.4067797258098296,LessExpression:0.7907403776916642,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,IfStatement:2.8269011768139554,ActualMethodParameter:0.28480571645027714,NotEqualExpression:1.4983105537896004,LessEqualExpression:1.4191293077419758,ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,IntDataType:0.5073574225169946,EqualExpression:1.021189299069938,StringLiteral:0.4171292451032503,GreaterExpression:1.2430380486862944"
345,112,conditional_operators,19,UNKNOWN,"IntDataType:0.5073574225169946,EqualExpression:1.7290237825382524,ActualMethodParameter:0.18479765068076517,OrExpression:1.2678616324113265,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,SimpleAssignmentExpression:0.09187991494111997,AndExpression:1.2195569528367716,StringLiteral:0.2706564513032853,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,IfStatement:1.8342493356277607,java.lang.System.out.println:0.3303575594137351,StringDataType:0.26394111259823055,ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533"
345,113,Constants,19,UNKNOWN,"PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,Constant:2.402794786253313,SimpleAssignmentExpression:0.09187991494111997,ActualMethodParameter:0.18479765068076517,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,ConstantInitializationStatement:3.7203193818895754,DoubleDataType:0.7993405494535817,ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,IntDataType:0.2996534668351779,java.lang.System.out.println:0.3303575594137351"
345,114,cookie_example,19,UNKNOWN,"StringVariable:1.3579117089708022,java.lang.String.equals:1.4983105537896004,InstanceField:0.843713109192127,StringLiteral:0.6744044300215049,PublicMethodSpecifier:0.06798203713598418,ObjectVariable:3.9794947327758092,ActualMethodParameter:0.4604669634754862,IfElseStatement:1.1558878729673943,null:1.6532125137753437,LessExpression:1.3388398410435476,ImportStatement:1.3325929770870883,ArrayElement:2.436858266006567,PublicClassSpecifier:0.05897785995933788,PreIncrementExpression:1.6532125137753437,StringDataType:0.669668871656332,ReturnStatement:1.2968098602481155,InstanceFieldInitializationStatement:1.5949582790394932,FormalMethodParameter:0.20016118041938452,ThrowsSpecification:3.8066658432917246,SimpleVariable:1.1317168891575557,ObjectCreationStatement:0.43761271343598884,NestedForLoops:1.4569178686313755,IntDataType:0.5073574225169946,ArrayLength:2.0271722013296305,OnDemandImport:2.084258988301393,StringAddition:0.49398918000695796,ExtendsSpecification:0.6232492903979004,IfStatement:1.0833372058187825,PrivateFieldSpecifier:1.3245612472053185,SimpleAssignmentExpression:0.1734998147746138,MethodDefinition:0.059076018558268086,VoidDataType:0.04326685993915826,ObjectMethodInvocation:1.3905831783397091,ConstructorCall:0.43761271343598884,NotEqualExpression:1.4983105537896004,ForStatement:1.3834186094084284,PostIncrementExpression:0.7907403776916642,ClassDefinition:0.0,PrivateMethodSpecifier:1.4191293077419758"
345,115,CreateObjectDemo,19,UNKNOWN,"ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,ConstructorCall:0.9183794180941623,StringLiteral:0.47091569826667773,ConstantInvocation:2.811159014808681,PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,SimpleAssignmentExpression:0.12949407201071567,ActualMethodParameter:0.3708614767115251,StringDataType:0.45923166708929225,ObjectMethodInvocation:0.5310033338297274,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,ObjectCreationStatement:0.9183794180941623,java.lang.System.out.println:0.5747897750815821,StringAddition:1.4552477389060097"
345,116,CreateObjectDemo_v2,19,UNKNOWN,"FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,ObjectCreationStatement:0.9183794180941623,java.lang.System.out.println:0.5091391640910456,StringAddition:1.2890340946423895,ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,ConstructorCall:0.9183794180941623,StringLiteral:0.4171292451032503,ObjectMethodInvocation:0.8755491562880835,PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,SimpleAssignmentExpression:0.11388278632306903,ActualMethodParameter:0.3489593801261492,StringDataType:0.4067797258098296"
345,117,CreateString,19,UNKNOWN,"PublicClassSpecifier:0.05897785995933788,VoidDataType:0.025554104472388137,StringDataType:0.1558878729673943,MethodDefinition:0.022639365465170848,StringInitializationStatement:1.1972805581256194,SimpleAssignmentExpression:0.05426575787152426,ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,StringVariable:0.6470522050705252,StringLiteral:0.1598540601849957"
345,118,create_2d_array,19,UNKNOWN,"FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,ArrayVariable:0.979796613911713,SimpleAssignmentExpression:0.11388278632306903,ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,MultiDimensionalArrayDataType:1.7201593034059568,ArrayElement:1.7290237825382524,PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,ArrayCreationStatement:1.3222192947339193,IntDataType:0.6288564478423063"
345,119,decisions1,19,UNKNOWN,"MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,CharDataType:1.7201593034059568,GreaterEqualExpression:3.2267055181740387,ActualMethodParameter:0.10914446942506807,StringAddition:0.49398918000695796,ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,IntDataType:0.2996534668351779,SimpleVariable:0.5392691614685069,IfElseStatement:1.1558878729673943,StringLiteral:0.1598540601849957,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,SimpleAssignmentExpression:0.1514969433926647,IfElseIfStatement:2.8377068490306945,java.lang.System.out.println:0.19511449636911166,StringDataType:0.1558878729673943"
345,120,Decision_If,19,UNKNOWN,"StringDataType:0.1558878729673943,MethodDefinition:0.022639365465170848,IntDataType:0.2996534668351779,ModulusExpression:1.4569178686313755,ActualMethodParameter:0.10914446942506807,ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,SimpleVariable:0.5392691614685069,EqualExpression:1.021189299069938,StringLiteral:0.1598540601849957,PublicClassSpecifier:0.05897785995933788,VoidDataType:0.025554104472388137,IfStatement:1.0833372058187825,java.lang.System.out.println:0.19511449636911166"
345,121,Decision_If_v2,19,UNKNOWN,"ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,IfStatement:1.0833372058187825,java.lang.System.out.println:0.19511449636911166,StringDataType:0.1558878729673943,PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,IntDataType:0.2996534668351779,ModulusExpression:1.4569178686313755,ActualMethodParameter:0.10914446942506807,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,SimpleAssignmentExpression:0.05426575787152426,EqualExpression:1.021189299069938,StringLiteral:0.1598540601849957"
345,122,demo_example,19,UNKNOWN,"FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,StringVariable:0.6470522050705252,StringLiteral:0.1598540601849957,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,StringDataType:0.1558878729673943,java.lang.System.out.println:0.19511449636911166,ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,StringInitializationStatement:1.1972805581256194,SimpleAssignmentExpression:0.05426575787152426,ActualMethodParameter:0.10914446942506807"
345,123,demo_example_version_1,19,UNKNOWN,"ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,IntDataType:0.2996534668351779,StringVariable:0.6470522050705252,java.lang.System.out.println:0.19511449636911166,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,SimpleAssignmentExpression:0.09187991494111997,StringDataType:0.1558878729673943,ActualMethodParameter:0.10914446942506807,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,StringInitializationStatement:1.1972805581256194,StringLiteral:0.1598540601849957"
345,124,do_while,19,UNKNOWN,"StringDataType:0.1558878729673943,ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,IntDataType:0.2996534668351779,WhileStatement:1.2678616324113265,ActualMethodParameter:0.10914446942506807,StringAddition:0.49398918000695796,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,SimpleAssignmentExpression:0.05426575787152426,LessEqualExpression:1.4191293077419758,StringLiteral:0.1598540601849957,PostIncrementExpression:0.7907403776916642,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,DoStatement:2.197280558125619,java.lang.System.out.println:0.19511449636911166"
345,125,draw_arcs,19,UNKNOWN,"ClassDefinition:0.0,FormalMethodParameter:0.07670662691976943,VoidDataType:0.025554104472388137,ImportStatement:1.0751276232261746,PublicClassSpecifier:0.05897785995933788,MethodDefinition:0.022639365465170848,ObjectMethodInvocation:1.1629154520058296,OnDemandImport:1.681567028199806,ExtendsSpecification:0.6232492903979004,PublicMethodSpecifier:0.028488537811437533,ActualMethodParameter:0.4047131718008177"
345,126,draw_polygons,19,UNKNOWN,"FormalMethodParameter:0.07670662691976943,VoidDataType:0.025554104472388137,ArrayVariable:2.7353564748056094,ObjectCreationStatement:0.7409427319313319,ObjectMethodInvocation:1.002710767888714,ImportStatement:1.0751276232261746,PublicClassSpecifier:0.05897785995933788,MethodDefinition:0.022639365465170848,ArrayInitializationStatement:3.226960914722598,IntDataType:0.8365604035241229,ConstructorCall:0.7409427319313319,OnDemandImport:1.681567028199806,ExtendsSpecification:0.6232492903979004,PublicMethodSpecifier:0.028488537811437533,ArrayInitializer:3.226960914722598,SimpleAssignmentExpression:0.16710822908031134,ActualMethodParameter:0.3604588977059742,ClassDefinition:0.0"
345,127,exception_v2,19,UNKNOWN,"ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,TryCatchStatement:2.4983105537896004,DivideExpression:1.7201593034059568,StringAddition:0.49398918000695796,EqualExpression:1.021189299069938,PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,IntDataType:0.5073574225169946,java.lang.System.out.println:0.40946967977750703,StringLiteral:0.2706564513032853,ObjectMethodInvocation:0.3136191229720017,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,SimpleAssignmentExpression:0.09187991494111997,ActualMethodParameter:0.22905192477560865,StringDataType:0.26394111259823055,IfStatement:1.0833372058187825"
345,128,flow_layout,19,UNKNOWN,"ObjectMethodInvocation:1.2370514932627565,MethodDefinition:0.059076018558268086,StaticMethodSpecifier:0.11809931207799448,ClassDefinition:0.0,PrivateFieldSpecifier:1.6417595247445318,ConstructorDefinition:0.640978057358332,StringLiteral:0.3814588424215749,ObjectCreationStatement:1.560067161580628,ActualMethodParameter:0.45136632200802496,PublicMethodSpecifier:0.0743390706349775,ImportStatement:1.3325929770870883,PublicClassSpecifier:0.05897785995933788,InstanceField:1.0457606517558669,PublicConstructorSpecifier:0.7579478642953567,StringDataType:0.37199435222906685,ConstructorCall:1.560067161580628,FormalMethodParameter:0.20016118041938452,VoidDataType:0.06668184902855141,OnDemandImport:2.084258988301393,ExtendsSpecification:0.6232492903979004,SimpleVariable:1.1317168891575557,SuperclassConstructorCall:1.0359125558906443,SimpleAssignmentExpression:0.1514969433926647"
345,129,fonts,19,UNKNOWN,"OnDemandImport:2.084258988301393,ExtendsSpecification:0.6232492903979004,SuperclassConstructorCall:1.0359125558906443,ActualMethodParameter:0.4117571944478564,PublicMethodSpecifier:0.05978639553726891,ObjectCreationStatement:1.289167733866714,ConstantInvocation:1.0069488599553278,SimpleAssignmentExpression:0.05426575787152426,ClassDefinition:0.0,ConstructorDefinition:0.640978057358332,StringLiteral:0.5279316362215398,FormalMethodParameter:0.16097746987610817,VoidDataType:0.05362815767166245,ConstructorCall:1.289167733866714,StringAddition:0.49398918000695796,ImportStatement:1.3325929770870883,PublicClassSpecifier:0.05897785995933788,PublicConstructorSpecifier:0.7579478642953567,StringDataType:0.5148329654406659,MethodDefinition:0.04751125057285596,ObjectMethodInvocation:1.1629154520058296,AddExpression:0.9931605754696945,StaticMethodSpecifier:0.11809931207799448"
345,130,get_request_example,19,UNKNOWN,"StringAddition:0.49398918000695796,PublicClassSpecifier:0.05897785995933788,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,SimpleAssignmentExpression:0.09187991494111997,StringLiteral:0.49226123353986445,AndExpression:1.2195569528367716,ImportStatement:1.6569609617893568,ExtendsSpecification:0.6232492903979004,ProtectedMethodSpecifier:2.0211892990699383,StringVariable:0.6470522050705252,ObjectMethodInvocation:1.0357538404051994,NotEqualExpression:1.4983105537896004,java.lang.String.length:1.7201593034059568,ClassDefinition:0.0,FormalMethodParameter:0.07670662691976943,ThrowsSpecification:1.595220566797657,StringDataType:0.48004759185990303,ActualMethodParameter:0.3361040131921593,null:1.6532125137753437"
